# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-s" "1" "-t" "gene" "-M" "-g" "gene_id" "-a" "./genomic.gtf" "-o" "counts3.txt" "37D1_control1_sorted.bam" "37D2_control2_sorted.bam" "37D3_control3_sorted.bam" "46D1_elevtemp_sorted.bam" "46D2_elevtemp2_sorted.bam" "46D3_elevtemp3_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	37D1_control1_sorted.bam	37D2_control2_sorted.bam	37D3_control3_sorted.bam	46D1_elevtemp_sorted.bam	46D2_elevtemp2_sorted.bam	46D3_elevtemp3_sorted.bam
PA2903	NC_002516.2	3256681	3258360	-	1680	0	0	0	0	0	0
PA2904	NC_002516.2	3258353	3259105	-	753	0	0	0	0	0	0
PA2905	NC_002516.2	3259102	3259728	-	627	0	0	1	1	0	1
PA2906	NC_002516.2	3259725	3261185	-	1461	0	0	0	0	0	0
PA2907	NC_002516.2	3261522	3262769	+	1248	0	0	0	0	0	0
PA2908	NC_002516.2	3262762	3263862	+	1101	0	0	0	0	0	0
PA2909	NC_002516.2	3263859	3264587	+	729	0	0	0	0	0	0
PA2910	NC_002516.2	3264642	3265211	-	570	0	0	0	0	0	0
PA2911	NC_002516.2	3265848	3268004	+	2157	0	0	0	0	0	0
PA2912	NC_002516.2	3268057	3268830	+	774	0	0	0	0	0	0
PA2913	NC_002516.2	3268827	3269798	+	972	0	0	0	0	0	0
PA2914	NC_002516.2	3269795	3270826	+	1032	0	0	0	0	0	0
PA2915	NC_002516.2	3270827	3271693	-	867	0	0	0	0	10	0
PA2916	NC_002516.2	3271813	3272406	-	594	0	0	0	0	0	0
PA2917	NC_002516.2	3272457	3273293	-	837	2	0	3	0	1	2
PA2918	NC_002516.2	3273504	3274277	+	774	10	10	8	2	2	4
PA2919	NC_002516.2	3274328	3274585	+	258	0	0	0	0	0	0
PA2920	NC_002516.2	3274597	3276234	-	1638	12	4	8	0	4	0
PA2921	NC_002516.2	3276319	3277308	-	990	0	0	0	0	0	0
PA2922	NC_002516.2	3277409	3278578	+	1170	0	0	2	0	0	0
PA2923	NC_002516.2	3278638	3279423	+	786	0	0	0	0	0	0
PA2924	NC_002516.2	3279479	3280168	+	690	0	0	0	0	2	0
PA2925	NC_002516.2	3280165	3280878	+	714	0	0	0	2	2	0
PA2926	NC_002516.2	3280899	3281666	+	768	0	0	0	0	0	0
PA2927	NC_002516.2	3281988	3283319	+	1332	0	0	0	0	2	0
PA2928	NC_002516.2	3283375	3284598	-	1224	0	0	0	0	0	0
PA2929	NC_002516.2	3285007	3285621	-	615	0	0	0	4	0	0
PA2930	NC_002516.2	3285687	3286613	+	927	0	2	0	0	0	4
PA2931	NC_002516.2	3286624	3287214	-	591	0	0	0	0	0	0
PA2932	NC_002516.2	3287340	3288449	+	1110	0	0	0	2	0	4
PA2933	NC_002516.2	3288515	3289693	+	1179	0	0	0	0	0	0
PA2934	NC_002516.2	3289715	3290674	+	960	0	0	0	2	0	0
PA2935	NC_002516.2	3290694	3291173	-	480	2	0	2	0	0	0
PA2936	NC_002516.2	3291283	3291864	+	582	0	0	0	0	0	0
PA2937	NC_002516.2	3291960	3292268	+	309	2	0	0	0	1	6
PA2938	NC_002516.2	3292324	3293781	-	1458	0	0	0	0	0	0
PA2939	NC_002516.2	3294282	3295892	+	1611	0	2	2	2	0	2
PA2940	NC_002516.2	3295979	3297118	-	1140	0	0	0	0	0	0
PA2941	NC_002516.2	3297240	3297884	-	645	0	0	0	0	0	0
PA2942	NC_002516.2	3297905	3298921	-	1017	0	0	0	0	2	0
PA2942.1	NC_002516.2	3299022	3299269	+	248	2	0	0	2	0	2
PA2943	NC_002516.2	3299492	3300586	+	1095	0	2	2	0	0	0
PA2944	NC_002516.2	3300615	3304361	-	3747	0	0	2	2	0	2
PA2945	NC_002516.2	3304437	3305564	-	1128	2	0	0	2	4	0
PA2946	NC_002516.2	3306312	3307013	+	702	0	0	0	0	0	1
PA2947	NC_002516.2	3307085	3307513	+	429	0	0	0	0	0	0
PA2948	NC_002516.2	3307510	3308262	+	753	0	2	0	0	0	0
PA2949	NC_002516.2	3308391	3309338	+	948	4	5	2	2	2	8
PA2950	NC_002516.2	3309411	3310607	-	1197	18	10	10	12	2	18
PA2951	NC_002516.2	3310792	3311721	-	930	13	4	13	8	6	9
PA2952	NC_002516.2	3311721	3312470	-	750	44	29	29	38	22	31
PA2953	NC_002516.2	3312791	3314446	+	1656	8	22	8	26	16	22
PA2954	NC_002516.2	3314495	3315064	-	570	1	0	0	0	0	0
PA2955	NC_002516.2	3315057	3315689	-	633	2	3	0	0	0	2
PA2956	NC_002516.2	3315754	3316650	-	897	0	0	0	2	0	2
PA2957	NC_002516.2	3316800	3317438	-	639	10	2	2	6	2	14
PA2958	NC_002516.2	3317524	3318657	+	1134	2	0	2	0	0	2
PA2958.1	NC_002516.2	3318663	3318859	+	197	0	0	0	0	0	0
PA2959	NC_002516.2	3318883	3319659	-	777	0	4	0	6	2	1
PA2960	NC_002516.2	3319674	3320030	-	357	22	6	19	18	13	18
PA2961	NC_002516.2	3320064	3321050	-	987	1	1	2	2	0	0
PA2962	NC_002516.2	3321043	3321675	-	633	0	0	0	0	0	0
PA2963	NC_002516.2	3321704	3322753	-	1050	0	6	2	4	8	10
PA2964	NC_002516.2	3322759	3323574	-	816	0	0	0	0	0	0
PA2965	NC_002516.2	3323574	3324818	-	1245	2	2	1	0	0	2
PA2966	NC_002516.2	3324947	3325183	-	237	350	203	160	128	142	163
PA2967	NC_002516.2	3325379	3326122	-	744	154	89	105	54	97	138
PA2968	NC_002516.2	3326145	3327083	-	939	26	16	6	10	18	31
PA2969	NC_002516.2	3327189	3328169	-	981	4	0	0	2	4	8
PA2970	NC_002516.2	3328203	3328385	-	183	6	2	0	0	2	2
PA2971	NC_002516.2	3328399	3328935	-	537	2	2	6	2	5	4
PA2972	NC_002516.2	3329045	3329623	+	579	0	0	0	0	0	2
PA2973	NC_002516.2	3329690	3330670	-	981	23	12	8	7	8	19
PA2974	NC_002516.2	3330663	3331355	-	693	14	5	2	1	10	17
PA2975	NC_002516.2	3331348	3332304	-	957	2	0	2	0	8	8
PA2976	NC_002516.2	3332881	3336054	+	3174	238	181	179	327	324	736
PA2977	NC_002516.2	3336212	3337231	-	1020	2	0	2	2	5	2
PA2978	NC_002516.2	3337228	3337692	-	465	1	0	0	1	0	2
PA2979	NC_002516.2	3337692	3338456	-	765	0	0	0	0	0	0
PA2980	NC_002516.2	3338456	3338641	-	186	0	0	0	0	0	0
PA2981	NC_002516.2	3338679	3339677	-	999	2	0	0	0	0	0
PA2982	NC_002516.2	3339677	3340117	-	441	0	0	0	0	0	0
PA2983	NC_002516.2	3340114	3340749	-	636	2	0	0	1	2	0
PA2984	NC_002516.2	3340822	3343047	-	2226	0	0	0	0	0	2
PA2985	NC_002516.2	3343178	3343711	+	534	0	1	0	2	8	4
PA2986	NC_002516.2	3343799	3345100	-	1302	8	7	8	0	10	2
PA2987	NC_002516.2	3345113	3345796	-	684	1	1	2	0	0	0
PA2988	NC_002516.2	3345789	3347039	-	1251	0	0	0	0	0	0
PA2989	NC_002516.2	3347142	3347741	+	600	0	0	2	0	2	0
PA2990	NC_002516.2	3348073	3348795	+	723	14	0	4	0	2	6
PA2991	NC_002516.2	3348838	3350232	-	1395	20	15	8	11	16	10
PA2992	NC_002516.2	3350411	3350638	-	228	0	3	2	1	0	6
PA2993	NC_002516.2	3350635	3351663	-	1029	1	0	2	1	0	0
PA2994	NC_002516.2	3351656	3352879	-	1224	11	0	2	2	0	4
PA2995	NC_002516.2	3352890	3353498	-	609	2	5	1	1	2	8
PA2996	NC_002516.2	3353498	3354172	-	675	4	0	2	0	0	1
PA2997	NC_002516.2	3354169	3354954	-	786	2	0	1	0	0	3
PA2998	NC_002516.2	3354947	3356158	-	1212	4	0	0	4	3	2
PA2999	NC_002516.2	3356162	3357499	-	1338	0	4	0	4	1	0
PA3000	NC_002516.2	3357758	3359167	-	1410	6	0	0	6	0	1
PA3001	NC_002516.2	3359269	3360654	-	1386	36	14	6	26	18	19
PA3002	NC_002516.2	3360875	3364321	+	3447	16	14	20	10	12	15
PA3003	NC_002516.2	3364332	3364961	+	630	10	8	4	6	0	7
PA3004	NC_002516.2	3365007	3365744	-	738	8	6	5	1	0	10
PA3005	NC_002516.2	3365756	3366754	-	999	2	1	0	3	0	6
PA3006	NC_002516.2	3366970	3367671	-	702	0	4	0	0	4	0
PA3007	NC_002516.2	3367903	3368517	+	615	2	0	4	4	4	0
PA3008	NC_002516.2	3368529	3369014	+	486	0	0	0	2	0	0
PA3009	NC_002516.2	3369036	3369269	-	234	0	0	2	2	3	2
PA3010	NC_002516.2	3369475	3369993	-	519	1	4	6	16	9	26
PA3011	NC_002516.2	3370100	3372706	-	2607	81	62	40	128	119	141
PA3012	NC_002516.2	3372797	3373171	-	375	3	2	2	4	6	2
PA3013	NC_002516.2	3373254	3374429	-	1176	26	26	14	23	10	36
PA3014	NC_002516.2	3374460	3376607	-	2148	104	108	54	117	81	119
PA3015	NC_002516.2	3377035	3377853	+	819	0	2	0	2	4	0
PA3016	NC_002516.2	3377870	3378304	-	435	0	0	0	0	0	0
PA3017	NC_002516.2	3378512	3378949	+	438	0	0	0	2	0	0
PA3018	NC_002516.2	3378979	3379665	-	687	0	6	2	0	4	4
PA3019	NC_002516.2	3379815	3381737	-	1923	6	0	0	0	4	2
PA3020	NC_002516.2	3381963	3383891	+	1929	8	6	4	6	8	0
PA3021	NC_002516.2	3383948	3384334	+	387	60	50	37	16	9	24
PA3022	NC_002516.2	3384378	3385184	-	807	2	0	0	0	0	0
PA3023	NC_002516.2	3385287	3386195	-	909	0	0	2	0	0	1
PA3024	NC_002516.2	3386270	3387829	-	1560	5	4	0	0	2	6
PA3025	NC_002516.2	3387850	3389430	-	1581	0	0	0	0	0	0
PA3026	NC_002516.2	3389436	3391031	-	1596	0	0	3	2	0	2
PA3027	NC_002516.2	3391208	3392239	+	1032	0	0	0	2	0	2
PA3028	NC_002516.2	3392268	3393485	-	1218	5	2	0	4	0	4
PA3029	NC_002516.2	3393482	3394021	-	540	0	0	0	0	0	0
PA3030	NC_002516.2	3394088	3394684	+	597	0	0	2	0	0	2
PA3031	NC_002516.2	3394816	3395037	+	222	78	48	54	80	86	86
PA3031.1	NC_002516.2	3395190	3395266	+	77	0	0	0	0	0	0
PA3032	NC_002516.2	3395325	3396728	-	1404	2	0	2	0	0	0
PA3033	NC_002516.2	3397096	3397374	-	279	0	2	0	0	0	1
PA3034	NC_002516.2	3397381	3397938	-	558	0	0	0	0	0	1
PA3035	NC_002516.2	3398104	3398700	+	597	0	0	0	2	6	6
PA3036	NC_002516.2	3398717	3399649	+	933	0	0	0	0	0	0
PA3037	NC_002516.2	3399649	3400515	+	867	0	0	0	0	2	0
PA3038	NC_002516.2	3400684	3401949	+	1266	4	4	2	0	6	2
PA3039	NC_002516.2	3402134	3403516	-	1383	2	0	0	2	2	2
PA3040	NC_002516.2	3403812	3404141	+	330	27	10	4	3	5	9
PA3041	NC_002516.2	3404145	3404525	+	381	4	3	0	0	0	0
PA3042	NC_002516.2	3404539	3404862	+	324	0	0	0	2	0	0
PA3043	NC_002516.2	3404979	3406310	+	1332	14	10	4	6	4	4
PA3044	NC_002516.2	3406321	3408546	-	2226	0	0	0	0	0	4
PA3045	NC_002516.2	3408560	3409183	-	624	0	0	0	0	0	0
PA3046	NC_002516.2	3409609	3409953	-	345	0	2	0	0	4	0
PA3047	NC_002516.2	3410264	3411694	+	1431	8	6	4	0	6	2
PA3048	NC_002516.2	3411763	3413940	-	2178	10	2	0	6	12	6
PA3049	NC_002516.2	3414401	3414613	+	213	78	74	60	26	38	32
PA3050	NC_002516.2	3414701	3415729	-	1029	0	2	2	6	0	6
PA3051	NC_002516.2	3415786	3416067	-	282	0	0	2	0	0	0
PA3052	NC_002516.2	3416061	3417041	+	981	0	0	1	4	2	0
PA3053	NC_002516.2	3417113	3418120	+	1008	2	2	2	4	6	6
PA3054	NC_002516.2	3418288	3420192	+	1905	2	4	0	2	0	0
PA3055	NC_002516.2	3420309	3420785	-	477	13	4	4	2	10	8
PA3056	NC_002516.2	3420823	3421299	-	477	5	2	2	2	4	3
PA3057	NC_002516.2	3421425	3421655	+	231	0	0	0	0	0	0
PA3058	NC_002516.2	3421696	3423066	-	1371	0	0	0	0	0	0
PA3059	NC_002516.2	3423068	3424591	-	1524	0	0	2	2	2	2
PA3060	NC_002516.2	3424588	3425577	-	990	0	0	0	0	2	2
PA3061	NC_002516.2	3425555	3426922	-	1368	0	0	2	0	0	0
PA3062	NC_002516.2	3426928	3427446	-	519	0	0	0	0	0	0
PA3063	NC_002516.2	3427486	3431067	-	3582	0	0	0	2	2	2
PA3064	NC_002516.2	3431045	3433891	-	2847	0	2	0	6	0	0
PA3065	NC_002516.2	3434373	3435359	-	987	0	0	0	0	0	0
PA3066	NC_002516.2	3435372	3435944	-	573	0	4	4	5	0	2
PA3067	NC_002516.2	3435987	3436430	-	444	36	10	20	72	75	117
PA3068	NC_002516.2	3436578	3441440	-	4863	102	62	50	58	50	74
PA3069	NC_002516.2	3441713	3442483	-	771	4	0	0	0	3	4
PA3070	NC_002516.2	3442823	3443803	+	981	2	0	10	8	10	6
PA3071	NC_002516.2	3443814	3444752	+	939	2	0	0	0	2	0
PA3072	NC_002516.2	3444749	3445243	+	495	0	0	0	0	0	0
PA3073	NC_002516.2	3445236	3446258	+	1023	2	0	0	0	2	2
PA3074	NC_002516.2	3446255	3448015	+	1761	2	0	0	0	2	0
PA3075	NC_002516.2	3448012	3449643	+	1632	0	2	2	0	2	2
PA3076	NC_002516.2	3449697	3450776	+	1080	0	0	0	4	0	2
PA3077	NC_002516.2	3450838	3451509	+	672	0	0	0	0	2	0
PA3078	NC_002516.2	3451506	3452801	+	1296	0	0	0	0	0	2
PA3079	NC_002516.2	3452872	3455253	-	2382	8	2	0	12	2	6
PA3080	NC_002516.2	3455266	3456363	-	1098	0	0	0	0	0	0
PA3081	NC_002516.2	3456543	3457910	-	1368	5	2	0	0	3	0
PA3082	NC_002516.2	3457969	3459933	-	1965	6	12	8	6	2	12
PA3083	NC_002516.2	3460380	3463037	-	2658	18	8	8	12	4	4
PA3084	NC_002516.2	3463056	3463856	-	801	16	5	15	12	11	34
PA3085	NC_002516.2	3463889	3464152	-	264	2	2	6	1	3	13
PA3086	NC_002516.2	3464236	3465096	-	861	1	0	1	0	0	5
PA3087	NC_002516.2	3465093	3466073	-	981	4	0	0	0	0	0
PA3088	NC_002516.2	3466073	3466960	-	888	4	2	0	2	0	0
PA3089	NC_002516.2	3467085	3468050	+	966	0	0	0	0	0	0
PA3089a	NC_002516.2	3468051	3468950	-	900	0	0	0	0	0	0
PA3091	NC_002516.2	3468988	3470427	-	1440	4	2	2	0	0	0
PA3092	NC_002516.2	3470764	3472803	-	2040	6	4	4	8	6	8
PA3093	NC_002516.2	3473018	3474136	+	1119	0	0	2	0	0	3
PA3094	NC_002516.2	3474133	3475170	+	1038	3	2	0	3	1	4
PA3094.1	NC_002516.2	3475457	3475533	-	77	2	0	1	0	0	0
PA3094.2	NC_002516.2	3475648	3475724	-	77	3	0	0	2	3	0
PA3094.3	NC_002516.2	3475741	3475816	-	76	0	0	0	0	2	0
PA3095	NC_002516.2	3475956	3476480	-	525	0	0	0	0	0	0
PA3096	NC_002516.2	3476482	3477630	-	1149	0	0	2	0	2	0
PA3097	NC_002516.2	3477627	3478628	-	1002	0	5	1	8	0	3
PA3098	NC_002516.2	3478625	3479338	-	714	0	2	0	0	0	2
PA3099	NC_002516.2	3479335	3479724	-	390	0	0	0	0	0	0
PA3100	NC_002516.2	3479721	3480239	-	519	0	2	4	2	2	2
PA3101	NC_002516.2	3480246	3480692	-	447	0	0	0	0	2	0
PA3102	NC_002516.2	3480697	3481914	-	1218	0	0	0	0	0	0
PA3103	NC_002516.2	3481914	3483422	-	1509	0	2	6	2	0	0
PA3104	NC_002516.2	3483642	3484349	+	708	8	0	0	6	2	4
PA3105	NC_002516.2	3484354	3486330	+	1977	4	4	2	0	0	0
PA3106	NC_002516.2	3486417	3487184	-	768	2	0	0	2	2	0
PA3107	NC_002516.2	3487181	3488392	-	1212	0	0	0	0	1	0
PA3108	NC_002516.2	3488409	3489914	-	1506	42	42	30	18	28	24
PA3109	NC_002516.2	3490136	3490678	-	543	0	0	0	0	0	0
PA3110	NC_002516.2	3490752	3491411	-	660	2	0	0	2	2	4
PA3111	NC_002516.2	3491415	3492704	-	1290	6	4	6	2	4	6
PA3112	NC_002516.2	3492701	3493573	-	873	10	6	10	14	23	26
PA3113	NC_002516.2	3493842	3494477	-	636	5	0	1	1	0	2
PA3114	NC_002516.2	3494567	3495424	-	858	1	0	2	0	0	0
PA3115	NC_002516.2	3495446	3498205	-	2760	48	42	30	14	16	28
PA3116	NC_002516.2	3498374	3499384	-	1011	22	3	8	3	3	4
PA3117	NC_002516.2	3499486	3500598	-	1113	10	4	6	11	10	15
PA3118	NC_002516.2	3500668	3501750	-	1083	3	1	2	1	0	1
PA3119	NC_002516.2	3501809	3502570	-	762	2	2	0	11	4	8
PA3120	NC_002516.2	3502642	3503280	-	639	2	0	0	2	0	2
PA3121	NC_002516.2	3503292	3504716	-	1425	4	4	1	9	3	11
PA3122	NC_002516.2	3504879	3505772	+	894	0	0	0	0	0	0
PA3123	NC_002516.2	3505865	3506242	-	378	8	2	2	4	6	10
PA3124	NC_002516.2	3506322	3507233	-	912	2	0	0	0	8	2
PA3125	NC_002516.2	3507345	3508673	+	1329	2	0	0	2	0	0
PA3126	NC_002516.2	3508717	3509166	-	450	0	2	0	66	58	50
PA3127	NC_002516.2	3509324	3510127	+	804	0	0	0	0	0	0
PA3128	NC_002516.2	3510144	3510890	+	747	0	0	0	0	0	0
PA3129	NC_002516.2	3510905	3511864	-	960	0	0	0	0	4	0
PA3130	NC_002516.2	3511957	3512394	-	438	0	0	0	0	0	1
PA3131	NC_002516.2	3512394	3513041	-	648	4	0	0	0	3	1
PA3132	NC_002516.2	3513154	3514011	-	858	0	2	0	0	4	2
PA3133	NC_002516.2	3514023	3514565	-	543	0	0	0	2	12	16
PA3133.1	NC_002516.2	3514723	3514798	-	76	0	0	0	0	0	0
PA3133.2	NC_002516.2	3514845	3514920	-	76	0	0	0	0	0	0
PA3133.3	NC_002516.2	3515014	3515089	-	76	0	0	0	0	0	0
PA3133.4	NC_002516.2	3515138	3515213	-	76	0	0	0	0	0	1
PA3134	NC_002516.2	3515416	3516900	-	1485	8	6	4	6	6	8
PA3135	NC_002516.2	3516938	3517858	-	921	0	0	0	0	2	0
PA3136	NC_002516.2	3517928	3518995	+	1068	0	0	0	0	0	0
PA3137	NC_002516.2	3519045	3520544	+	1500	0	0	0	2	0	0
PA3138	NC_002516.2	3520548	3522560	-	2013	6	0	0	2	2	2
PA3139	NC_002516.2	3522748	3523944	+	1197	4	10	2	12	12	13
PA3139.1	NC_002516.2	3524012	3524087	+	76	0	0	0	0	0	0
PA3140	NC_002516.2	3524161	3524490	-	330	0	0	0	0	0	0
PA3141	NC_002516.2	3524681	3526678	-	1998	34	18	12	17	17	31
PA3142	NC_002516.2	3527429	3527734	-	306	1	1	2	3	3	3
PA3143	NC_002516.2	3527670	3528212	-	543	1	1	3	1	2	1
PA3145	NC_002516.2	3528428	3529447	-	1020	32	16	29	14	38	38
PA3146	NC_002516.2	3529508	3530458	-	951	34	9	6	13	18	27
PA3147	NC_002516.2	3530467	3531708	-	1242	56	34	41	56	50	134
PA3148	NC_002516.2	3531751	3532815	-	1065	19	7	12	17	10	26
PA3149	NC_002516.2	3532812	3533933	-	1122	330	189	228	170	231	399
PA3150	NC_002516.2	3533948	3535081	-	1134	433	246	299	241	252	419
PA3151	NC_002516.2	3535216	3535971	-	756	101	101	83	85	93	148
PA3152	NC_002516.2	3535971	3536579	-	609	15	14	9	17	8	16
PA3153	NC_002516.2	3536576	3537811	-	1236	7	8	9	12	14	11
PA3154	NC_002516.2	3537808	3539124	-	1317	16	15	12	23	11	42
PA3155	NC_002516.2	3539128	3540207	-	1080	101	44	37	53	56	65
PA3156	NC_002516.2	3540210	3540785	-	576	117	79	69	58	63	113
PA3157	NC_002516.2	3540782	3542671	-	1890	48	31	36	62	61	146
PA3158	NC_002516.2	3542740	3543690	-	951	246	139	119	88	139	136
PA3159	NC_002516.2	3543764	3545074	-	1311	122	86	62	66	88	147
PA3160	NC_002516.2	3545881	3546927	-	1047	153	85	76	185	163	304
PA3161	NC_002516.2	3547689	3547973	-	285	6	6	8	12	10	5
PA3162	NC_002516.2	3548110	3549789	-	1680	380	228	213	161	277	455
PA3163	NC_002516.2	3550057	3550746	-	690	2	0	4	2	0	0
PA3164	NC_002516.2	3550746	3552986	-	2241	12	2	2	6	8	18
PA3165	NC_002516.2	3552979	3554088	-	1110	2	6	0	2	2	14
PA3166	NC_002516.2	3554157	3555254	-	1098	24	14	13	12	12	24
PA3167	NC_002516.2	3555254	3556339	-	1086	22	7	0	4	4	4
PA3168	NC_002516.2	3556427	3559198	-	2772	67	49	36	42	76	86
PA3169	NC_002516.2	3559435	3560511	-	1077	8	0	8	4	8	12
PA3170	NC_002516.2	3560621	3561955	+	1335	22	12	14	2	10	22
PA3171	NC_002516.2	3562106	3562804	+	699	2	0	2	8	6	8
PA3172	NC_002516.2	3562801	3563481	+	681	0	0	0	2	0	0
PA3173	NC_002516.2	3563546	3564286	+	741	22	12	4	10	4	20
PA3174	NC_002516.2	3564445	3565173	+	729	0	0	1	0	0	3
PA3175	NC_002516.2	3565189	3566124	+	936	0	0	0	0	0	0
PA3176	NC_002516.2	3566163	3567377	+	1215	0	0	0	0	0	0
PA3177	NC_002516.2	3567606	3568529	+	924	0	2	0	2	0	0
PA3178	NC_002516.2	3568636	3569013	-	378	0	0	0	2	0	0
PA3179	NC_002516.2	3569106	3570266	-	1161	0	2	0	4	5	4
PA3180	NC_002516.2	3570414	3570851	+	438	2	0	2	2	0	4
PA3181	NC_002516.2	3570941	3571603	-	663	3	0	2	1	1	6
PA3182	NC_002516.2	3571621	3572337	-	717	4	0	0	6	4	11
PA3183	NC_002516.2	3572324	3573793	-	1470	12	4	14	12	14	24
PA3184	NC_002516.2	3573980	3574837	+	858	4	4	15	3	15	24
PA3185	NC_002516.2	3574846	3575697	-	852	0	4	2	4	4	8
PA3186	NC_002516.2	3575912	3577276	-	1365	2	0	0	0	6	2
PA3187	NC_002516.2	3577320	3578480	-	1161	0	0	4	0	0	0
PA3188	NC_002516.2	3578513	3579358	-	846	0	0	0	0	0	0
PA3189	NC_002516.2	3579351	3580283	-	933	0	0	0	0	0	0
PA3190	NC_002516.2	3580384	3581646	-	1263	0	0	2	0	0	4
PA3191	NC_002516.2	3582171	3583592	-	1422	4	0	1	0	2	2
PA3192	NC_002516.2	3583616	3584344	-	729	2	2	0	0	6	0
PA3193	NC_002516.2	3584379	3585374	-	996	4	0	0	2	15	0
PA3194	NC_002516.2	3585477	3587303	-	1827	0	2	4	8	16	10
PA3195	NC_002516.2	3587433	3588437	+	1005	80	30	26	72	50	84
PA3196	NC_002516.2	3588741	3589271	-	531	0	0	0	0	2	0
PA3197	NC_002516.2	3589352	3590350	-	999	0	0	5	3	0	9
PA3198	NC_002516.2	3590490	3591242	-	753	0	2	0	4	6	4
PA3199	NC_002516.2	3591415	3592044	-	630	0	2	0	0	0	1
PA3200	NC_002516.2	3592041	3592928	-	888	2	2	0	0	0	5
PA3201	NC_002516.2	3593144	3593731	+	588	0	0	2	0	1	0
PA3202	NC_002516.2	3593733	3594032	+	300	2	0	1	0	0	2
PA3203	NC_002516.2	3594208	3594570	+	363	6	0	0	0	0	0
PA3204	NC_002516.2	3594581	3595258	+	678	0	0	0	0	0	0
PA3205	NC_002516.2	3595387	3595827	+	441	4	2	2	2	2	0
PA3206	NC_002516.2	3595942	3597279	+	1338	0	0	0	0	2	2
PA3207	NC_002516.2	3597319	3597798	+	480	0	0	2	2	0	0
PA3208	NC_002516.2	3597779	3598339	-	561	0	0	0	0	0	0
PA3209	NC_002516.2	3598404	3598775	-	372	2	0	0	0	0	0
PA3210	NC_002516.2	3598933	3600387	+	1455	4	0	0	2	2	0
PA3211	NC_002516.2	3600454	3601599	+	1146	2	2	0	0	0	0
PA3212	NC_002516.2	3601596	3602390	+	795	0	0	0	0	0	0
PA3213	NC_002516.2	3602392	3603330	+	939	4	0	0	0	0	0
PA3214	NC_002516.2	3603327	3603971	+	645	0	0	0	0	0	0
PA3215	NC_002516.2	3603994	3605007	-	1014	0	0	2	0	0	0
PA3216	NC_002516.2	3605150	3605467	+	318	0	0	0	0	0	0
PA3217	NC_002516.2	3605684	3607075	+	1392	3	0	0	0	2	2
PA3219	NC_002516.2	3608117	3608929	-	813	0	0	0	0	0	0
PA3220	NC_002516.2	3609076	3609840	+	765	0	0	0	0	2	0
PA3221	NC_002516.2	3609905	3610240	+	336	0	0	0	0	0	0
PA3222	NC_002516.2	3610250	3611149	+	900	0	2	0	0	0	0
PA3223	NC_002516.2	3611254	3611895	-	642	0	0	0	0	0	0
PA3224	NC_002516.2	3612042	3612359	-	318	10	14	8	4	10	12
PA3225	NC_002516.2	3612559	3613488	+	930	1	2	2	0	0	2
PA3226	NC_002516.2	3613495	3614322	+	828	0	0	0	0	0	0
PA3227	NC_002516.2	3614304	3614867	+	564	0	0	0	0	0	0
PA3228	NC_002516.2	3614930	3616762	+	1833	4	2	6	0	2	6
PA3229	NC_002516.2	3617044	3617310	+	267	0	0	2	0	0	0
PA3230	NC_002516.2	3617343	3618467	-	1125	0	0	0	0	0	0
PA3231	NC_002516.2	3618726	3618884	-	159	0	0	0	0	0	0
PA3232	NC_002516.2	3618993	3619619	-	627	0	2	0	0	0	0
PA3233	NC_002516.2	3619616	3621415	-	1800	0	2	2	2	0	4
PA3234	NC_002516.2	3621505	3623160	-	1656	15	6	3	2	4	0
PA3235	NC_002516.2	3623157	3623468	-	312	16	14	2	2	2	2
PA3236	NC_002516.2	3623686	3624543	-	858	0	0	0	4	4	0
PA3237	NC_002516.2	3624837	3625058	+	222	0	0	0	0	0	0
PA3238	NC_002516.2	3625201	3626562	+	1362	6	14	8	10	9	6
PA3239	NC_002516.2	3626566	3627369	+	804	2	4	0	4	4	4
PA3240	NC_002516.2	3627509	3628366	+	858	0	0	2	2	0	0
PA3241	NC_002516.2	3628430	3629599	-	1170	24	22	18	2	10	14
PA3242	NC_002516.2	3629667	3630605	-	939	1	0	0	0	2	4
PA3243	NC_002516.2	3630765	3631556	+	792	3	0	0	0	5	4
PA3244	NC_002516.2	3631618	3632433	+	816	52	29	28	17	19	55
PA3245	NC_002516.2	3632430	3632684	+	255	5	2	1	1	0	3
PA3246	NC_002516.2	3632788	3633423	+	636	0	0	0	0	0	0
PA3247	NC_002516.2	3633592	3634881	+	1290	10	4	2	0	2	0
PA3248	NC_002516.2	3634924	3635475	-	552	0	2	0	0	4	2
PA3249	NC_002516.2	3635541	3636257	-	717	0	0	0	0	0	0
PA3250	NC_002516.2	3636621	3637679	+	1059	0	0	0	2	2	1
PA3251	NC_002516.2	3637734	3638543	+	810	0	0	0	0	0	0
PA3252	NC_002516.2	3638540	3639379	+	840	0	0	0	0	0	0
PA3253	NC_002516.2	3639366	3640163	+	798	0	0	0	0	0	0
PA3254	NC_002516.2	3640166	3641161	+	996	0	0	0	0	0	0
PA3255	NC_002516.2	3641233	3641811	+	579	2	0	0	0	2	0
PA3256	NC_002516.2	3641872	3642834	-	963	0	1	0	0	0	1
PA3257	NC_002516.2	3642964	3645060	+	2097	66	30	42	70	48	97
PA3258	NC_002516.2	3645099	3646904	+	1806	2	0	4	2	2	2
